	id	rtscts	datarate	packetsize	verbose	rng	thr1	pkl1	thr2	pkl2
92	a711b503-2fe8-44ce-8b07-cda7252f55e0	True	15	100	True	162	2.35076 Mbps	87.7564 %	1.72407 Mbps	91.0204 %
93	39c6020c-686f-4a32-a6dd-74fd6cc7aefb	False	1	100	True	203	1.27044 Mbps	0.720192 %	1.27113 Mbps	0.666844 %
94	80d97aec-be64-4896-9277-8448f164c2f0	False	5	500	True	298	1.73184 Mbps	67.1913 %	2.2176 Mbps	57.9888 %
95	d97d571d-908a-49d1-8604-f230e19e2d48	True	1	500	True	19	1.05459 Mbps	0 %	1.05459 Mbps	0 %
96	a058648e-3596-4c75-a436-61061657180f	False	1	1500	True	235	0.920875 Mbps	9.23695 %	0.904576 Mbps	10.8434 %
97	4b33cd5b-9498-4a4f-9917-a20abdebe8bd	True	15	1500	True	195	15.2433 Mbps	0.21339 %	8.88277 Mbps	41.8512 %
98	626484b2-5f91-4a0e-8eb9-24187c8d94c1	False	2	500	True	254	1.7783 Mbps	15.7438 %	1.71494 Mbps	18.7458 %
99	cdaf369e-171e-495a-a831-30f6722c8a35	True	5	1000	True	109	5.12081 Mbps	0.320171 %	5.13178 Mbps	0.106724 %
100	d742becc-7ea0-4f24-b5d2-6829c8700b6f	True	2	100	True	47	1.92785 Mbps	24.6833 %	2.15723 Mbps	15.7221 %
101	34599511-1ea1-42c6-9a7a-1b585fecfcdb	False	2	100	True	242	2.361 Mbps	7.76103 %	2.1248 Mbps	16.9889 %
102	a1bff7a4-d831-4cf7-ac15-61fd319c30a4	False	10	1500	True	357	0.717141 Mbps	92.9572 %	4.10319 Mbps	59.7039 %
103	42351559-adc4-4d50-a708-e80c1ecfd1a1	False	15	1000	True	389	1.34051 Mbps	91.3067 %	6.14333 Mbps	60.16 %
104	f9118654-ff53-4e9b-9f58-9a1fc7c1ca7e	True	1	500	True	18	1.05459 Mbps	0 %	1.05459 Mbps	0 %
105	71c2c681-a461-4fc7-a7dd-b8f6a44cf9c7	False	15	100	True	363	2.52143 Mbps	86.8676 %	2.19204 Mbps	88.5831 %
106	5c3922e0-b19c-4282-bd1b-c94ddf45b040	False	5	100	True	284	2.34359 Mbps	63.3794 %	2.14187 Mbps	66.5315 %
107	6306f65a-9414-4bb3-9a39-28296a8156c8	False	10	1000	True	344	2.25338 Mbps	78.0742 %	1.32955 Mbps	87.0632 %
108	7d6e5b42-b947-4513-a939-86ac1b262dbb	False	15	1500	True	391	0.859755 Mbps	94.3718 %	6.35241 Mbps	58.4156 %
