	id	rtscts	hidden	tcp	datarate	packetsize	verbose	rng	thr	rtr
294	451517ba-a2a4-46e0-acbb-b34df87f23cb	True	True	False	5.0	1000	True	94	10.26355	340
295	70ba839c-f9c3-41c1-b7fd-3c0f2700476a	True	True	False	20.0	1000	True	134	24.09301	204
296	2a000ea9-4e91-467a-9d0d-3ca99ff099d9	True	False	True	2.5	1000	True	150	5.51892	0
297	17138253-bd5c-48b9-9692-5ee2e709fcdb	True	False	False	5.0	1000	True	236	10.26849	0
298	ec7d956c-1e56-4548-8c68-0ab179b2eea8	True	False	False	5.0	1000	True	235	10.27343	0
299	0587dd92-276c-49d0-8b99-7f6d040a9bca	True	True	True	2.5	1000	True	13	5.51874	228
300	74c7e312-0312-48f3-b73a-70a9b3c94b7d	True	False	False	10.0	1000	True	258	20.407	0
301	593a124d-a7c5-4a2e-a1ac-381b107b3c88	True	False	True	10.0	1000	True	188	9.1847	0
302	d61351b3-b250-4625-a481-c965f425a6cf	True	False	False	5.0	1000	True	234	10.26027	0
303	b14be09f-68cc-4e69-935b-830dc71cd067	True	True	False	15.0	1000	True	120	22.33472	276
304	8ae9d46f-c9dd-461a-9ad3-152f01c7b324	False	True	True	20.0	1000	True	347	9.723793	1565
305	6baf7ce2-b24d-4d2b-a98a-615fef8b4593	True	True	True	1.0	1000	True	7	2.20514	95
306	2976042f-83ba-4a36-824a-853c4f368a74	False	True	False	5.0	1000	True	372	3.17282	2410
307	213b0e56-88cf-4676-96fe-d817105953a7	False	False	True	2.5	1000	True	435	5.51892	2682
308	eee83370-bbf4-4956-90cc-fcd85b4caea8	False	True	True	1.0	1000	True	281	2.20498	3202
309	67306d8e-8e16-4dde-b296-9a855db71ac3	False	False	True	1.0	1000	True	421	2.20514	1468
310	892e7901-92a2-4393-a9c3-de49fe58c5bf	True	True	True	5.0	1000	True	20	8.59079	143
311	fdd0a4d5-75f1-43b7-a5bb-fb0a8a092d39	False	True	True	20.0	1000	True	348	10.016459999999999	1391
312	43cf2190-5e85-4b3c-bb1d-8b6dfa2abdcd	True	False	True	5.0	1000	True	164	9.14813	0
313	5ed35030-1ff0-4150-afea-693363216b5c	False	False	False	5.0	1000	True	511	10.26191	3248
314	cd1406f4-c68d-45fd-8b69-29c4447c6af9	True	True	True	1.0	1000	True	9	2.20514	102
315	2d5a48b1-3fc8-426d-a372-56ce96b40e11	False	True	True	15.0	1000	True	330	7.84799	1902
316	c8744aa4-7c86-4637-9de0-d926e0b75672	True	False	False	1.0	1000	True	219	2.05272	0
317	0d48ae90-e835-47fe-ac10-b0b409d8e6ad	True	True	False	20.0	1000	True	132	23.949959999999997	260
318	036748f3-595c-4700-a550-e38056efbbfa	False	True	False	7.5	1000	True	381	3.62021	2484
319	beb1760e-2854-4914-8e2c-448bb42240ba	True	False	False	20.0	1000	True	271	25.5355	0
320	5b505f34-91f0-4d71-9243-fc92a7866ecc	False	False	False	10.0	1000	True	530	20.527099999999997	3419
321	c653b3fb-0b65-4e70-b0b4-d4bbd0bdbfa4	True	False	True	20.0	1000	True	201	9.2059	0
322	b7a6392a-be47-4825-b3b1-11b7f2f2b482	True	True	False	1.0	1000	True	78	2.05272	91
323	26571959-373f-4d64-be82-b15b5cf49aa1	True	False	True	7.5	1000	True	171	9.191849999999999	0
324	fe1ab79a-e849-42d5-9701-007565d7cab7	False	False	True	5.0	1000	True	447	11.03274	3681
325	a8d2c45c-20fb-41d4-914c-1768202d3b63	True	False	False	7.5	1000	True	240	15.39203	0
326	4527c4c0-8381-4360-b2ab-1012877b4340	False	True	True	20.0	1000	True	342	6.75637	1537
327	efe6a5b8-7ad6-444e-b449-62ddc974edbc	True	False	False	2.5	1000	True	226	5.13836	0
328	a703857c-0282-4eee-b51b-e1a3551b28e2	True	False	False	20.0	1000	True	270	25.5405	0
329	c283da9a-e8b0-4026-9bc3-5cdc74356d5a	True	False	False	7.5	1000	True	245	15.406839999999999	0
330	5da3c22b-2994-498f-b63d-643a6e547ae2	True	True	True	2.5	1000	True	17	5.5188299999999995	243
331	8954a5d0-cd3b-497b-a237-8de5d565806c	False	False	False	2.5	1000	True	509	5.13836	2110
332	ba0ca6aa-ef03-42ab-a579-13d27c5e9dba	False	False	False	5.0	1000	True	513	10.27178	3769
333	bdac499c-df0b-44b5-87c4-8e307d5ae73e	False	True	True	10.0	1000	True	320	7.46599	1416
334	c3b2f332-015c-4d99-b324-149759a3bfba	True	True	False	10.0	1000	True	119	18.70466	239
335	f63b6fb5-6145-43f1-95b3-a0fa634ff524	True	False	False	10.0	1000	True	250	20.4054	0
336	40bdeafd-801e-4e8a-a415-0d19485c12e6	False	True	False	15.0	1000	True	409	2.70898	3105
337	f16766bb-b47f-499b-8f3a-33805542b899	False	False	False	20.0	1000	True	554	34.7168	2588
338	1c2c553c-dd6f-4ce7-9a00-7ac17f6503fa	True	False	False	1.0	1000	True	210	2.05272	0
339	c82e7fdd-ee8f-4123-80e8-30a1a1f9d797	False	False	True	5.0	1000	True	443	11.0344	3405
340	0b8220ad-4904-457f-913c-3be285d7876d	True	False	True	15.0	1000	True	197	9.18824	0
341	14f75c86-e53e-4254-99eb-db87d93fea7a	True	True	False	15.0	1000	True	123	21.66197	208
342	b15118af-6d8c-49fb-b4f9-27faf84e05de	False	True	False	5.0	1000	True	371	2.55602	2951
343	806dddf1-4526-4197-b0bd-18812c442365	True	False	False	7.5	1000	True	246	15.410129999999999	0
344	842bac9d-8d13-44d5-9d1b-46e5531874a5	True	True	False	2.5	1000	True	87	5.13671	151
345	888fef88-387f-45ab-ad58-14a7f6b1ba70	True	True	False	5.0	1000	True	93	10.26191	324
346	deebda2f-abbb-44eb-a852-bb0bd90b7b8e	False	False	True	10.0	1000	True	464	12.49864	2883
347	f160c176-cecc-452e-b16e-591e1bea7f35	False	False	False	10.0	1000	True	535	20.548499999999997	3482
348	31b9a0f9-9dbb-4dbf-8a2b-a8f0ae16f59f	True	True	True	15.0	1000	True	59	8.947	127
349	60470ecb-5d5c-4210-ab87-12ce2675b30f	False	False	False	5.0	1000	True	515	10.26685	3636
350	ca4f57e0-bfc0-4f45-b843-55c20f7328c8	True	True	True	7.5	1000	True	36	8.81617	165
351	78cd903b-1b83-4e4e-afa3-6264d626b09d	False	False	False	20.0	1000	True	550	34.781	2557
352	cc06b1b4-7ad4-4bfa-8b7f-d97459c6dbd0	False	False	True	5.0	1000	True	446	11.032820000000001	3579
353	02fedb4e-c2eb-4ba9-a624-2f8c63a5dad6	False	False	True	2.5	1000	True	430	5.5188299999999995	2766
354	1e7d520e-bbee-4a42-848d-e906882cbba0	False	False	False	20.0	1000	True	552	34.1378	2610
355	ea6cdac4-483a-4b8f-9c81-735819ea305b	False	True	True	20.0	1000	True	340	10.735050000000001	1264
356	61644783-921f-47b9-ac39-c7c81d68d964	True	True	True	20.0	1000	True	62	8.88492	133
357	e300a009-ece1-4871-a3d2-d179631347ba	True	True	True	7.5	1000	True	30	8.92364	128
358	78aa7053-be9d-441d-a969-3d6d0a6442b1	False	True	True	7.5	1000	True	312	7.30334	1483
359	cf021f31-bdb9-4371-979c-6fe81084217e	False	True	False	15.0	1000	True	401	5.29626	2533
360	4fb00b4b-7030-4849-ae55-dd6f3b5b4585	True	False	False	20.0	1000	True	279	25.4846	0
361	e2884df2-1810-461d-ae5c-a9ae6d4ec521	True	True	True	10.0	1000	True	44	8.88593	137
362	6cecc2c8-c720-4f2a-8d9f-80236b068677	True	False	True	15.0	1000	True	196	9.19707	0
363	9f6240f9-03c6-429d-893b-b4a62e3126ab	True	False	True	1.0	1000	True	145	2.20514	0
364	263858b0-1eeb-48d3-8c3f-6e3c66dae29d	True	False	True	1.0	1000	True	148	2.20514	0
365	51b286ca-ba48-4319-88e7-4a10f0282200	True	False	True	5.0	1000	True	167	9.15486	0
366	56fe1cbe-fff6-4c0b-b925-f31a7acaa3d6	True	True	True	2.5	1000	True	12	5.518660000000001	228
367	6bafb3fe-9b64-43f9-8540-3c3e3dffafd0	False	True	False	10.0	1000	True	392	4.37188	2679
368	3b5ef862-1ec3-41a7-b8eb-ffaaa941ac74	False	True	True	7.5	1000	True	313	7.1413199999999994	1455
369	e7a6c821-f69f-4db4-8b52-ad6f125b3160	True	False	False	15.0	1000	True	263	25.5141	0
370	4d8eae58-2149-4b04-8da4-4cfa695374bd	False	False	False	7.5	1000	True	529	15.406839999999999	4274
371	bb874fee-5b50-48b8-bebd-afd70f81ceee	False	True	False	15.0	1000	True	402	5.28474	2594
372	a0d25870-1642-4099-a030-4748cfe19d5b	False	True	False	5.0	1000	True	374	2.62675	2950
373	088653c5-1c04-41b5-a8de-5b699aef3af2	False	False	True	5.0	1000	True	440	10.77471	2666
374	e14cd321-9271-4387-9013-6e28734824cf	True	False	True	7.5	1000	True	175	9.21314	0
375	8da55919-57f9-445a-a4cc-5c72687a8d4e	False	False	False	20.0	1000	True	557	34.0654	2642
376	a7d72ac5-7bb4-4ed0-9c7b-9ea0904cc7a3	False	True	False	2.5	1000	True	365	2.52806	2986
377	198dbd67-d75d-4cec-8698-3ced26cc8aa1	True	False	False	1.0	1000	True	211	2.05272	0
378	f6802841-4399-49bf-8d3d-f63b452f8ce2	True	True	False	1.0	1000	True	75	2.05272	80
379	f6a337bd-f321-46bc-ae30-92554c238f02	True	True	True	2.5	1000	True	10	5.51867	224
380	ea1c3bbf-d916-4489-9ca9-a8c01c7c5cdd	False	False	True	5.0	1000	True	444	10.41696	2568
381	0e85e30c-8f3e-4c1c-98b3-37805b5aa22e	True	False	False	2.5	1000	True	221	5.13836	0
382	72c6fc18-8e55-449b-aa15-4629bb7ef9ae	False	False	False	2.5	1000	True	500	5.13836	1598
383	57520816-db0a-46d0-9139-e2dbfde5615b	False	False	True	1.0	1000	True	426	2.20514	1471
384	e069c262-0e0d-4b3e-b6bd-8684f263a9bf	True	True	True	5.0	1000	True	27	8.68737	150
385	a7e854c5-dd53-40bd-8a5f-35a5789c41c3	True	False	False	15.0	1000	True	265	25.524	0
386	6ef5858c-0098-4d27-b1cb-80c32af339c7	False	False	True	1.0	1000	True	423	2.20514	1470
387	3245dc0a-3b05-4977-bf2d-49b1466c678e	True	True	True	7.5	1000	True	39	8.92069	138
388	88babac9-c2f1-43e4-bd61-d1965f1738ba	True	True	True	10.0	1000	True	43	8.89009	142
389	365a6328-6c0a-4a39-9af0-b630458914be	False	False	True	10.0	1000	True	466	12.547930000000001	2878
390	3d16c37d-3f10-4f24-a76d-87edbc7c7671	False	True	True	5.0	1000	True	306	5.40342	1421
391	9ce9c966-8374-4722-af1a-90001ef4961b	True	True	True	7.5	1000	True	35	8.82125	139
392	35eebe53-4e04-4df2-a429-897036d8d24c	False	True	False	1.0	1000	True	353	1.986918	2529
393	24f33084-a79d-489d-9341-3b152f82b142	True	True	False	2.5	1000	True	80	5.133419999999999	174
394	c92342a8-d207-466a-a9b5-5b1598d88a41	False	True	False	20.0	1000	True	419	2.66786	3025
