	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
271	05877b0e-306a-4bc1-8a5f-b6606f9878de	False	False	2.5	1000	True	283	2.38332	1219	2.56918	6
272	c9a8c860-2159-4418-9b08-c0a71a7066db	False	False	7.5	1000	True	300	7.7026	4410	7.70753	12
273	15a2b25c-a6f8-47c8-9fa4-34c5e8eb6aad	False	True	2.5	1000	True	193	0.419424	1378	2.56753	595
274	a721dab1-87be-417a-b1bf-fac2fbd535d3	True	False	12.5	1000	True	145	11.6435	0	12.2603	0
275	3cc20a01-9c37-4b20-b42f-fe39fe8152b0	True	False	5.0	1000	True	115	5.13836	0	5.12684	0
276	eff83b08-ec13-4ad9-b889-fae254310477	False	True	20.0	1000	True	262	0.36679	1162	19.7869	738
277	48fb9f75-b1d3-4e9a-81e3-a856d4a159d5	True	True	1.0	1000	True	5	1.02636	0	1.02636	0
278	15a48319-6146-4408-ba4f-85e0f7800017	False	True	1.0	1000	True	180	1.02636	631	1.02636	5
279	c991ad34-75af-42bf-b370-9ae23345a2b7	False	False	2.5	1000	True	287	2.32246	1387	2.56753	1
280	40f831ef-9614-45c7-8511-a42173bbda7c	True	True	7.5	1000	True	32	7.70918	136	7.69931	0
281	c9ea39da-779b-4f29-9c1a-99b464762161	False	True	12.5	1000	True	234	4.55774	1245	12.7587	1016
282	c00bc242-e217-4074-a45c-d8c72d2f94ce	False	False	5.0	1000	True	292	5.13178	3040	5.13836	0
283	fff0ee64-8cd1-473e-b093-f189d726a249	False	True	17.5	1000	True	257	8.71744	1270	17.9119	770
284	874d0ab5-5137-4bed-817f-866f42f5ec63	True	True	10.0	1000	True	47	7.21409	105	10.2784	0
285	7fa8f3a3-1b4b-4c5c-b452-9ffae6bd9bb4	True	True	15.0	1000	True	60	1.85204	78	15.4151	0
286	c7c79a2f-8ca1-40dd-87ac-82411b53c2b1	False	True	7.5	1000	True	216	0.871744	1056	7.68451	657
287	981d3fc2-0394-4818-a3f7-50a6f725605b	True	False	10.0	1000	True	133	9.94282	0	10.2718	0
288	00807e4a-0561-471d-82a7-8290d0271f49	False	True	12.5	1000	True	232	4.05443	1026	12.79	795
289	c2876f00-0077-4682-a4c2-3e45036b1cf7	False	True	1.0	1000	True	187	1.02636	623	1.02471	0
290	ed521149-973a-4116-b39c-87deff1ae23d	True	False	15.0	1000	True	155	12.0695	0	14.1979	0
291	ab2f035e-b355-4c77-ad36-aec712f01c07	False	True	5.0	1000	True	203	1.54447	1054	4.112	433
292	bc1b791b-1e09-40b1-8fc6-ea7f568bb326	True	False	10.0	1000	True	137	9.92966	0	10.2784	0
293	49f49c74-419b-4f4e-ac74-ab0dedf85f14	False	False	2.5	1000	True	289	2.56753	1550	2.56918	0
294	ddd5c561-2159-4bc8-b4f4-1d867b6aac23	True	False	1.0	1000	True	96	1.02636	0	1.02636	0
295	99fc61d7-70be-487a-8134-d345083884a0	False	False	1.0	1000	True	279	1.02636	614	1.02636	0
296	2613fd18-8cd0-43f3-9a1b-0c8d1aecc273	False	False	15.0	1000	True	332	14.3772	948	15.3855	4
297	88836d02-5b98-4d22-a28f-35184312340e	True	False	5.0	1000	True	114	5.13836	0	5.12849	0
298	8a280762-5340-44c9-a75c-f4a1757b8f83	True	True	5.0	1000	True	23	5.12355	7	5.13836	0
299	540813e0-19da-4bb0-b075-86f756dd2cbe	True	False	20.0	1000	True	172	11.5333	0	14.8756	0
300	546ec8b0-0c39-4eee-8062-7a67ae5e5a7a	False	True	5.0	1000	True	209	0.567456	1070	5.12355	472
301	88c1956e-3e8f-4644-82cc-a66a96c83533	False	True	20.0	1000	True	260	0.277971	915	20.2376	592
302	554df936-8cdc-41ca-b9ac-ec830723838a	True	False	12.5	1000	True	149	11.6024	0	12.2406	0
303	71171146-ceda-4f76-8d7a-dc2623e70e28	True	False	1.0	1000	True	97	1.02636	0	1.02636	0
304	81c77650-b7b6-46fa-b763-dc046548db68	False	True	10.0	1000	True	221	2.11028	1017	10.2159	852
