	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr	rtr
44	3a95ed0f-b87e-4105-8dfc-58f7204677c3	False	False	5.0	1000	True	414	10.27014	2928
45	f8f44d1c-0505-4b0f-96ff-cd1429642f3d	False	False	7.5	500	True	421	15.83155	3449
46	afd14a9e-aae3-450a-8cda-5b7ee725080d	True	False	2.5	500	True	144	5.27494	2500
47	2ea17e55-6654-4ce1-b5a0-4cdf61cfb328	False	False	15.0	1000	True	475	28.9863	2249
48	9167bcb4-6db9-425d-bb45-0af29415b5b8	False	False	15.0	1000	True	472	29.1935	2279
49	12a9fb49-537b-4d27-841f-9a1341406829	False	True	5.0	1000	True	295	9.250350000000001	34
50	1ca6641e-b799-4bb2-8899-1dd3dd1236ad	False	True	1.0	1000	True	259	2.05272	0
51	889a41a7-ac7a-4c86-9051-fb00d984c9bd	True	True	5.0	500	True	47	10.55325	7
52	9f1679d3-b278-4938-a3b2-6332d94fbaf8	True	False	7.5	1000	True	193	15.41178	2174
53	49775b72-3dde-4538-8767-7c98cd210130	False	True	10.0	500	True	328	21.0879	20
54	62af62c4-2d88-4a31-b42a-ce8047dd0925	False	False	5.0	500	True	408	10.55662	5434
55	f38c6a8f-7f6f-4792-8a7d-2becf4acfa44	False	True	10.0	1000	True	331	20.537	4
56	4bbad860-a45b-490f-be95-488faa9cd871	False	False	1.0	500	True	368	2.11032	758
57	b29276c3-8b49-4be3-9569-27125a1db81a	False	False	1.0	1000	True	370	2.05272	565
58	39bb3fa0-fd1a-44d0-9337-4c88f9729295	False	True	7.5	1000	True	315	15.40026	6
59	ae500946-d6d3-403c-b248-4b709301a0f6	False	False	2.5	1000	True	394	5.13836	1428
60	9a3477da-33d0-49ea-b27a-91daf4623fb2	False	True	10.0	500	True	325	21.1015	12
61	b5cd0e2e-e1c9-414a-8a21-a27cc3ecb880	True	True	2.5	1000	True	36	5.13836	0
62	017db773-de02-413b-a907-4cca513c6999	False	True	5.0	1000	True	296	10.26191	59
63	ddc7dcdb-e5f8-4673-be7a-4b309e8a16e1	True	False	15.0	500	True	223	16.493029999999997	0
64	e4cfc374-0ce7-4ef7-9c79-6d70b0108cae	True	True	10.0	500	True	80	17.70109	7
65	03705b5c-42d1-49c3-b233-51d9d225675a	True	False	2.5	500	True	146	5.27663	3278
66	83dcdaca-a69e-45c7-ba30-f96ae1ce676c	True	True	2.5	500	True	20	5.27325	47
67	d7d0d9ed-e044-49df-9578-08c723974c80	False	False	10.0	500	True	444	20.198300000000003	2903
68	b5eaa1a9-64d1-4518-b7a4-353a5ae4e448	False	True	15.0	1000	True	359	27.752699999999997	17
69	ba62d724-393a-49c4-bbab-7f01422a1fc6	True	False	15.0	1000	True	236	26.256	0
70	cbf145a1-11da-4335-86ad-c97456b3bf98	True	True	10.0	1000	True	91	20.5321	4
71	66f6528c-41c1-405f-aea8-3e069270ee9e	False	False	2.5	500	True	385	5.27663	621
72	0af2e1a2-565b-46f5-83e5-a8a194838995	True	False	10.0	500	True	209	16.49134	0
73	5d25602d-be8d-4570-966c-1927e9e6bbca	False	True	10.0	1000	True	332	20.548499999999997	55
74	08c6a068-04a7-4420-b631-a0881fd4b26b	True	True	1.0	500	True	9	2.11032	0
75	a0856a28-f1a3-4540-b255-ff8a54cb7de5	False	True	7.5	500	True	307	15.82902	2
76	41f2b928-e35c-45dc-8bec-8f244ee64005	False	True	10.0	500	True	323	21.0845	12
77	8883834d-aa8b-4f06-940b-02e70167c528	True	False	7.5	1000	True	196	15.40191	2158
78	d10b2e4a-a9e5-4095-9759-b648ef064497	True	False	15.0	1000	True	239	26.2757	0
79	160bd237-a526-4236-8d15-ed4241792fbd	False	True	2.5	1000	True	274	5.13836	0
80	a09882f7-ae2a-4e09-985c-6ca715483874	False	True	10.0	500	True	327	21.109	12
81	b30cfefd-749f-4975-b42c-a763edaf2839	False	True	5.0	500	True	287	10.532969999999999	11
82	9e9be230-4646-40f3-9333-5d8cb2533721	True	False	15.0	1000	True	233	26.2757	0
83	1ff1af35-b732-4ebc-99f0-51ce564187ce	False	True	1.0	1000	True	255	2.05272	124
84	8540504d-705f-4192-af86-9acc7d22defd	False	True	1.0	500	True	248	2.11032	0
